1,1,1,25.11.2018,California,26.11.2018,21,500,14:10
2,1,1,15.11.2018,California,16.11.2018,21,500,14:30
3,2,1,25.11.2018,Croatia,26.11.2018,22,245,14:45
4,2,2,10.11.2018,Croatia,11.11.2018,22,245,14:50
5,2,3,02.11.2018,Croatia,03.11.2018,22,245,14:51
6,3,1,05.11.2018,Amsterdam,06.11.2018,23,400,14:55
7,3,3,08.11.2018,Amsterdam,09.11.2018,23,400,15:10
8,3,7,09.11.2018,Amsterdam,10.11.2018,23,400,15:25
9,4,1,29.11.2018,London,30.11.2018,24,350,15:27
10,4,10,01.11.2018,London,02.11.2018,24,350,16:08
